Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE
Aquisição de 5000 testes rapidos de pesquisa de antigénio Covid-19 (Zaragatoa);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Instituto Nacional de Emergência Médica, I. P. (501356126)";"QUEENLABS ESPECIALIDADES FARMACEUTICAS, LDA (503984485)";"18.250,00 €";27-04-2021;18-03-2021;66 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de serviço de operadores de atendimento telefónico - COVID 19;Consulta Prévia;Aquisição de serviços;"79510000-2, Serviços de atendimento de telefones";Município de Cascais (505187531);"INTELCIA PORTUGAL INSHORE, S.A. (509378471)";"67.930,50 €";27-04-2021;25-03-2021;150 dias;Portugal;"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDQzMzA0;false;
Aquisição de Raio-X Portátil de Apoio à Urgência COVID-19 - Ajuste Direto N.º 7800291;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33111000-1, Aparelhos para radiologia";"Hospital Garcia de Orta, E. P. E. (506361470)";GE HEALTHCARE (500357129);"88.000,00 €";27-04-2021;03-02-2021;50 dias;"Portugal, Setúbal, Almada";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"AQUISIÇÃO DE EQUIPAMENTO DE PROTEÇÃO INDIVIDUAL – COVID-19, para o terceiro período do ano escolar 2020/2021";Consulta Prévia;Aquisição de bens móveis;"35121000-8, Equipamento de segurança e protecção";"Agrupamento de Escolas Sidónio Pais, Caminha (600076857)";"OLMAR - ARTIGOS DE PAPELARIA, LDA (508831989)";"1.224,00 €";26-04-2021;26-03-2021;36 dias;"Portugal, Viana do Castelo, Caminha";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1452367;false;
"AQUISIÇÃO DE EQUIPAMENTO DE PROTEÇÃO INDIVIDUAL – COVID-19,  para o terceiro período do ano escolar 2020/2021";Consulta Prévia;Aquisição de bens móveis;"35121000-8, Equipamento de segurança e protecção";"Agrupamento de Escolas Sidónio Pais, Caminha (600076857)";"COSTAFIL, LDA (503106755)";"7.495,05 €";26-04-2021;26-03-2021;36 dias;"Portugal, Viana do Castelo, Caminha";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1452367;false;
2021003216 - SVC CONSTRUÇÃO DE DIVISÓRIAS INST SANITÁRIAS H07 - COVID19;Ajuste Direto Regime Geral;Aquisição de serviços;"98000000-3, Outros serviços comunitários, sociais e pessoais";Estado-Maior-General das Forças Armadas (EMGFA) (600010180);Maria Virgínia Santos Ramalho Rodrigues (139331603);"3.340,00 €";26-04-2021;15-03-2021;1 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
2021003217 - SVC ADAPTAÇÃO ÀREA CONSULTAS EDIFÍCIO H07 - 2.º PISO COVID19;Ajuste Direto Regime Geral;Aquisição de serviços;"98000000-3, Outros serviços comunitários, sociais e pessoais";Estado-Maior-General das Forças Armadas (EMGFA) (600010180);Maria Virgínia Santos Ramalho Rodrigues (139331603);"3.190,00 €";26-04-2021;15-03-2021;1 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
19U0090621- Serviços de Higiene e Limpeza- Reforço da Limpeza de Zonas Críticas Covid 19.;Ajuste Direto Regime Geral;Aquisição de serviços;"90910000-9, Serviços de limpeza";"Hospital Professor Doutor Fernando Fonseca, E. P. E. (503035416)"; Eulen S.A. - Sucursal em Portugal (980122538);"187.217,82 €";23-04-2021;03-03-2021;90 dias;"Portugal, Lisboa, Amadora";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
2021003218 - CONST. DIVISÓRIA EXTENSÃO INTERNAMENTO COVID19 - CIRURGIA ALA B;Ajuste Direto Regime Geral;Aquisição de serviços;"98000000-3, Outros serviços comunitários, sociais e pessoais";Estado-Maior-General das Forças Armadas (EMGFA) (600010180);Maria Virgínia Santos Ramalho Rodrigues (139331603);"3.220,00 €";23-04-2021;15-03-2021;1 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
2021001475- LIFETECH KEYBOARD COM LEITOR DE CARTÃO - APOIO AO COVID19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"30000000-9, Máquinas, equipamento e material de escritório e de informática, excepto mobiliário e pacotes de programas (software)";Estado-Maior-General das Forças Armadas (EMGFA) (600010180);"Simoffice - Equipamentos de Escritório, Lda (509942571)";"701,10 €";23-04-2021;12-03-2021;1 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
AQUISIÇÃO DE SOCAS WOCK - APOIO AO COVID19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"18000000-9, Vestuário, calçado, malas e artigos de viagem, acessórios";Estado-Maior-General das Forças Armadas (EMGFA) (600010180);"A.P. Simplicio, Lda (506793419)";"20.628,00 €";23-04-2021;08-03-2021;1 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
