Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE
Prestação de serviços para a realização de análises na area da Microbiologia/Virologia-Pesquisa de RNA do virus SARS-CoV-2 (Covid-19) por PCR em tempo real;Ajuste Direto Regime Geral;Aquisição de serviços;"85145000-7, Serviços prestados por laboratórios médicos";"Centro Hospitalar do Oeste, E. P. E. (514993871)";"Dr. Joaquim Chaves - Laboratório de Análises Clínicas, S A (500753636)";"294.950,00 €";24-04-2021;08-04-2020;84 dias;"Portugal, Leiria, Caldas da Rainha";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";Cumprimento integral do contrato;24-06-2020;"294.950,00 €";;;;Não aplicável.;Não aplicável.;false;;false;
TESTES RÁPIDOS COVID-19  ;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar do Baixo Vouga, E. P. E. (510123210)";"Quilaban, S.A (500399670)";"36.195,12 €";19-04-2021;26-05-2020;365 dias;"Portugal, Aveiro";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
TESTES RÁPIDOS COVID-19  ;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar do Baixo Vouga, E. P. E. (510123210)";CEPHEID (980655684);"14.840,00 €";19-04-2021;14-04-2020;365 dias;"Portugal, Aveiro";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
TESTES RÁPIDOS COVID-19  ;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar do Baixo Vouga, E. P. E. (510123210)";"Quilaban, S.A (500399670)";"865,92 €";19-04-2021;10-04-2020;365 dias;"Portugal, Aveiro";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Projecto de infraestruturas para rede informática e telefónica -  no âmbito da Pandemia COVID-19;Ajuste Direto Regime Geral;Aquisição de serviços;"64000000-6, Serviços postais e de telecomunicações";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"FONOTEL - COMUNICAÇÕES, S.A. (501397469)";"695,70 €";08-04-2021;26-06-2020;30 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Procedimento Centralizado n. º52/AD/SG-PCM/2020 para aquisição de material de proteção Covid-19 -Máscaras cirúrgicas   ;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";Autoridade da Mobilidade e dos Transportes (513637257);"Regive - Com. Equip. Inf., Lda. (502984945)";"4.428,00 €";05-04-2021;03-06-2020;15 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";Cumprimento integral do contrato;21-08-2020;"4.428,00 €";N/A;N/A;;Não aplicável.;Não aplicável.;false;;false;
Procedimento Centralizado n.º 58/AD/SGPCM/2020para aquisição de material de proteção Covid-19 - Gel Alcoólico ;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";Autoridade da Mobilidade e dos Transportes (513637257);"Biosog, S.A., (510615465)";"527,76 €";05-04-2021;04-06-2020;15 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";Cumprimento integral do contrato;04-08-2020;"527,76 €";N/A;N/A;;Não aplicável.;Não aplicável.;false;;false;
"EMODELAÇÃO DA ANTIGA SALA DE COLHEITAS DO HSC, NO ÂMBITO DA PANDEMIA DO COVID-19";Ajuste Direto Regime Geral;Empreitadas de obras públicas;"45200000-9, Obras de construção total ou parcial e de engenharia civil";"Centro Hospitalar de Lisboa Ocidental, E. P. E. (507618319)";"2 Com Arte, Lda (515859893)";"12.415,00 €";29-03-2021;15-05-2020;10 dias;Portugal;"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1155181;false;
Aquisição de Serviços de Limpeza Extra para o Serviço de Ambulatório (Covid 19) para o CHSJ;Ajuste Direto Regime Geral;Aquisição de serviços;"90910000-9, Serviços de limpeza";"Centro Hospitalar Universitário de São João, E. P. E. (509821197)";"EUROMEX - FACILITY SERVICES, LDA (502629428)";"87.877,86 €";23-03-2021;07-05-2020;238 dias;"Portugal, Porto, Porto";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aquisição de veículo de lavagem e desinfeção de ruas torna-se fundamental para garantir maior qualidade na lavagem e desinfeção das ruas da freguesia, nesta fase em que o controlo da contaminação por COVID-19 é fulcral";Consulta Prévia;Aquisição de bens móveis;"34144000-8, Veículos a motor para usos especiais";Freguesia de Odivelas (506605752);"Simopeças, Lda (503193364)";"62.500,00 €";17-03-2021;24-04-2020;30 dias;"Portugal, Lisboa, Odivelas";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
GENE FINDER COVID-19 PLUS REAL AMP KIT;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E. (506362299)";"Bioportugal, Lda. (502380543)";"8.000,00 €";16-03-2021;20-03-2020;20 dias;"Portugal, Porto, Porto";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
41/2908/2020 - Medicamentos urgentes covid-19;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;"33690000-3, Medicamentos vários";"Centro Hospitalar Universitário do Algarve, E. P. E. (510745997)";"GENERIS FARMACÊUTICA,SA (508107997), BIOGEN PORTUGAL, SOC FARMACÊUTICA, UNIPESSOAL (506415740)";"21.233,45 €";03-03-2021;30-03-2020;90 dias;"Portugal, Faro, Faro";Artigo 259.º do Código dos Contratos Públicos;;;;;;;4586023;"CP 2020/2 - Medicamentos do sistema nervoso cerebrospinal exceto anestésicos, relaxantes musculares, analgésicos, antipiréticos, antidepressivos e antipsicóticos";false;;false;
Aquisição Roupa Hospitalar - COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"39518000-6, Roupa para uso hospitalar";Serviço de Utilização Comum dos Hospitais (500900469);MEILEX LDA (501759441);"958.425,70 €";23-02-2021;07-05-2020;180 dias;Portugal;"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1138964;false;
Aquisição de Fatos Reutilizáveis - COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"18000000-9, Vestuário, calçado, malas e artigos de viagem, acessórios";Serviço de Utilização Comum dos Hospitais (500900469);DAYLIFE S.A (513057641);"46.750,00 €";23-02-2021;08-04-2020;20 dias;Portugal;"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;https://www.such.pt/pt/;false;
Aquisição de Roupa de Bloco - COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"18000000-9, Vestuário, calçado, malas e artigos de viagem, acessórios";Serviço de Utilização Comum dos Hospitais (500900469);MEILEX LDA (501759441);"101.255,00 €";23-02-2021;29-04-2020;180 dias;Portugal;"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;https://www.such.pt/pt/;false;
Fornecimento de material descartável diverso para fazer face ao surto de COVID-19;Concurso público;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Unidade Local de Saúde de Matosinhos, EPE (ULSM) (506361390)";"LINEAMEDICA-DISPOSITIVOS MEDICOS-CIRUGICOS, SA (505148676)";"894,00 €";22-02-2021;11-03-2020;270 dias;"Portugal, Porto, Matosinhos";Artigo 155.º do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;;false;
AQUISIÇÃO DE 20 COMPUTADORES PORTÁTEIS - COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"30213100-6, Computadores portáteis";Freguesia de Braga (São Vítor) (507033647);"BYTE ENERGY, LDA (507271092)";"5.154,47 €";19-02-2021;04-06-2020;30 dias;"Portugal, Braga, Braga";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
